Date,HDFCBANK.NS,RELIANCE.NS,TCS.NS
2025-01-10,1656.75,1241.9000244140625,4255.5087890625
2025-01-13,1630.8499755859375,1239.8499755859375,4280.8984375
2025-01-14,1646.5999755859375,1238.75,4222.986328125
2025-01-15,1643.050048828125,1252.199951171875,4239.4970703125
2025-01-16,1652.050048828125,1266.449951171875,4196.2998046875
2025-01-17,1636.75,1302.3499755859375,4124.2998046875
2025-01-20,1651.25,1305.449951171875,4077.800048828125
2025-01-21,1642.4000244140625,1273.699951171875,4035.85009765625
2025-01-22,1666.050048828125,1277.0999755859375,4156.60009765625
2025-01-23,1664.9000244140625,1263.6500244140625,4145.4501953125
2025-01-24,1649.800048828125,1246.300048828125,4152.35009765625
2025-01-27,1629.800048828125,1229.3499755859375,4065.14990234375
2025-01-28,1670.4000244140625,1234.4000244140625,4040.300048828125
2025-01-29,1677.300048828125,1235.5,4099.7998046875
2025-01-30,1691.5,1253.050048828125,4100.0498046875
2025-01-31,1698.75,1265.0999755859375,4112.39990234375
2025-02-01,1690.949951171875,1264.5999755859375,4073.14990234375
2025-02-03,1678.0,1245.9000244140625,4068.64990234375
2025-02-04,1720.9000244140625,1285.199951171875,4107.0498046875
2025-02-05,1737.800048828125,1278.199951171875,4091.10009765625
2025-02-06,1743.8499755859375,1281.550048828125,4082.75
2025-02-07,1732.75,1266.699951171875,4029.39990234375
2025-02-10,1715.75,1253.6500244140625,4036.949951171875
2025-02-11,1701.4000244140625,1234.8499755859375,3963.550048828125
2025-02-12,1706.800048828125,1216.550048828125,3950.14990234375
2025-02-13,1697.699951171875,1216.0999755859375,3910.14990234375
2025-02-14,1694.8499755859375,1217.25,3934.85009765625
2025-02-17,1717.3499755859375,1224.9000244140625,3904.5
2025-02-18,1723.050048828125,1225.4000244140625,3873.199951171875
2025-02-19,1727.199951171875,1227.449951171875,3784.10009765625
2025-02-20,1687.0999755859375,1233.0,3779.39990234375
2025-02-21,1692.5,1228.1500244140625,3786.0
2025-02-24,1677.0999755859375,1214.550048828125,3675.60009765625
2025-02-25,1682.3499755859375,1204.0,3629.550048828125
2025-02-27,1700.699951171875,1207.0999755859375,3612.550048828125
2025-02-28,1732.4000244140625,1200.0999755859375,3483.25
2025-03-03,1701.550048828125,1171.25,3493.050048828125
2025-03-04,1710.0,1161.9000244140625,3532.050048828125
2025-03-05,1690.0,1175.5999755859375,3547.050048828125
2025-03-06,1691.199951171875,1209.5999755859375,3601.60009765625
2025-03-07,1689.25,1249.800048828125,3611.199951171875
2025-03-10,1687.5,1238.4000244140625,3589.64990234375
2025-03-11,1685.5,1247.300048828125,3575.300048828125
2025-03-12,1711.1500244140625,1257.050048828125,3506.199951171875
2025-03-13,1706.5999755859375,1247.9000244140625,3511.050048828125
2025-03-17,1710.4000244140625,1238.8499755859375,3497.699951171875
2025-03-18,1710.4000244140625,1238.8499755859375,3497.699951171875
2025-03-19,1744.0999755859375,1247.1500244140625,3497.10009765625
2025-03-20,1768.75,1269.1500244140625,3563.14990234375
2025-03-21,1770.3499755859375,1276.3499755859375,3578.10009765625
2025-03-24,1800.0,1302.0999755859375,3628.949951171875
2025-03-25,1821.449951171875,1285.449951171875,3657.75
2025-03-26,1806.550048828125,1273.050048828125,3635.800048828125
2025-03-27,1825.3499755859375,1278.199951171875,3651.199951171875
2025-03-28,1828.199951171875,1275.0999755859375,3606.14990234375
2025-04-01,1767.8499755859375,1252.5999755859375,3550.800048828125
2025-04-02,1796.9000244140625,1251.1500244140625,3543.949951171875
2025-04-03,1794.8499755859375,1248.699951171875,3403.14990234375
2025-04-04,1817.300048828125,1204.699951171875,3299.39990234375
2025-04-07,1757.699951171875,1165.699951171875,3274.050048828125
2025-04-08,1769.1500244140625,1182.199951171875,3292.949951171875
2025-04-09,1765.0,1185.3499755859375,3246.60009765625
2025-04-11,1806.75,1218.949951171875,3231.5
2025-04-15,1864.9000244140625,1240.0999755859375,3248.199951171875
2025-04-16,1878.0,1239.300048828125,3273.800048828125
2025-04-17,1906.699951171875,1274.5,3298.89990234375
2025-04-21,1927.0999755859375,1295.5,3321.60009765625
2025-04-22,1961.699951171875,1291.199951171875,3314.39990234375
2025-04-23,1923.9000244140625,1300.0,3413.0
2025-04-24,1916.800048828125,1301.5999755859375,3401.60009765625
2025-04-25,1911.199951171875,1300.4000244140625,3448.0
